Date,Time,GHI,DNI,DIF,flagR,SE,SA,TEMP,AP,RH,WS,WD
01.09.2015,00:30,409,705,103,1,25.67,-78.44,18.0,899.3,44.8,2.9,80
01.09.2015,01:30,577,668,189,1,36.14,-66.88,20.9,899.6,37.6,3.6,71
01.09.2015,02:30,574,514,200,1,45.89,-51.92,22.8,899.6,32.4,3.7,69
01.09.2015,03:30,853,876,149,1,53.47,-32.04,24.3,899.1,28.7,3.5,69
01.09.2015,04:30,896,898,141,1,57.25,-6.75,25.6,898.1,26.0,3.3,69
01.09.2015,05:30,864,849,161,1,55.93,20.07,26.4,897.5,23.9,3.1,69
01.09.2015,06:30,792,842,148,1,50.01,42.79,26.8,897.0,22.8,2.6,64
01.09.2015,07:30,671,822,130,1,41.16,59.97,27.1,896.4,22.6,2.6,67
01.09.2015,08:30,484,646,147,1,30.76,73.15,27.1,896.4,22.8,2.8,69
01.09.2015,09:30,243,309,135,1,19.66,84.08,26.4,896.4,24.3,3.4,72
01.09.2015,10:30,90,178,58,1,8.41,93.99,24.8,896.8,27.5,3.4,90
01.09.2015,11:30,6,11,5,2,-2.58,103.76,23.1,897.6,31.5,3.9,103
01.09.2015,12:30,0,0,0,0,-13.69,114.15,21.3,898.0,36.9,4.9,122
01.09.2015,13:30,0,0,0,0,-23.52,125.93,19.6,898.9,43.3,4.3,120
01.09.2015,14:30,0,0,0,0,-31.82,139.85,18.4,900.0,48.0,3.9,122
01.09.2015,15:30,0,0,0,0,-37.81,156.40,17.5,900.6,51.6,3.3,123
01.09.2015,16:30,0,0,0,0,-40.60,175.18,16.7,900.7,54.1,2.9,122
01.09.2015,17:30,0,0,0,0,-39.64,-165.50,16.0,900.8,56.9,2.5,117
01.09.2015,18:30,0,0,0,0,-35.14,-147.71,15.3,900.7,59.0,2.2,107
01.09.2015,19:30,0,0,0,0,-27.86,-132.51,14.9,900.7,60.6,2.2,96
01.09.2015,20:30,0,0,0,0,-18.71,-119.77,14.5,900.5,61.8,2.2,89
01.09.2015,21:30,0,0,0,0,-8.23,-108.79,13.9,900.4,63.9,2.1,92
01.09.2015,22:30,34,128,19,2,3.02,-98.80,13.9,900.7,63.2,1.8,100
01.09.2015,23:30,203,524,69,1,14.06,-89.04,15.9,901.0,55.4,1.7,118
02.09.2015,00:30,400,708,97,1,25.15,-78.42,18.9,901.6,45.6,1.5,148
02.09.2015,01:30,586,800,117,1,35.94,-66.49,22.0,901.5,37.0,0.9,144
02.09.2015,02:30,740,858,127,1,45.65,-51.51,24.8,901.3,28.9,1.2,130
02.09.2015,03:30,845,892,132,1,53.18,-31.68,26.4,900.6,24.9,2.2,94
02.09.2015,04:30,892,904,135,1,56.90,-6.54,27.7,899.7,22.0,4.5,17
02.09.2015,05:30,873,897,133,1,55.56,20.05,28.7,899.0,20.0,3.8,21
02.09.2015,06:30,797,871,133,1,49.66,42.61,29.2,898.1,19.0,2.0,49
02.09.2015,07:30,618,613,211,1,40.83,59.73,28.9,897.6,19.0,2.0,104
02.09.2015,08:30,315,228,194,1,30.45,72.91,28.9,897.3,18.8,2.7,113
02.09.2015,09:30,282,456,134,1,19.36,83.85,28.4,897.3,19.4,3.1,104
02.09.2015,10:30,86,166,53,1,8.13,93.76,26.4,897.4,22.0,3.2,74
02.09.2015,11:30,5,4,4,2,-2.87,103.55,24.2,897.4,25.5,3.9,125
02.09.2015,12:30,0,0,0,0,-14.01,113.96,23.6,897.4,27.5,5.9,101
02.09.2015,13:30,0,0,0,0,-23.85,125.76,23.0,897.5,29.3,5.0,82
02.09.2015,14:30,0,0,0,0,-32.18,139.72,22.2,897.9,32.0,4.9,108
02.09.2015,15:30,0,0,0,0,-38.18,156.36,21.6,898.5,34.6,4.5,82
02.09.2015,16:30,0,0,0,0,-40.97,175.26,21.2,898.5,36.5,5.0,119
02.09.2015,17:30,0,0,0,0,-39.98,-165.30,20.7,898.5,38.2,5.0,118
02.09.2015,18:30,0,0,0,0,-35.43,-147.44,20.2,898.5,39.8,5.0,115
02.09.2015,19:30,0,0,0,0,-28.12,-132.20,19.6,898.5,41.7,5.1,116
02.09.2015,20:30,0,0,0,0,-18.92,-119.45,18.9,898.5,44.2,5.1,116
02.09.2015,21:30,0,0,0,0,-8.43,-108.46,17.9,898.6,47.2,4.9,117
02.09.2015,22:30,24,34,19,2,2.87,-98.47,17.4,898.7,48.9,4.9,117
02.09.2015,23:30,197,428,87,1,13.89,-88.69,17.9,898.9,46.7,5.2,123
03.09.2015,00:30,318,303,192,1,24.97,-78.06,19.9,899.1,41.2,5.5,139
03.09.2015,01:30,489,374,268,1,35.74,-66.10,23.0,898.8,35.9,4.8,115
03.09.2015,02:30,635,459,309,1,45.41,-51.11,25.9,898.4,30.8,4.0,73
03.09.2015,03:30,725,468,352,1,52.88,-31.31,27.8,898.0,27.4,5.1,146
03.09.2015,04:30,745,415,399,1,56.54,-6.33,28.8,896.9,25.5,5.5,147
03.09.2015,05:30,595,215,418,1,55.19,20.02,29.0,895.9,24.9,5.7,149
03.09.2015,06:30,412,74,355,1,49.30,42.44,29.1,895.1,24.9,5.8,154
03.09.2015,07:30,210,7,205,1,40.50,59.50,28.8,894.7,25.6,4.9,209
03.09.2015,08:30,203,36,186,1,30.14,72.67,27.5,894.4,28.3,3.0,310
03.09.2015,09:30,57,5,55,1,19.06,83.61,25.5,895.0,34.0,6.5,209
03.09.2015,10:30,23,0,23,1,7.84,93.54,23.0,895.4,43.0,6.9,218
03.09.2015,11:30,0,0,0,0,-3.15,103.33,21.0,895.7,51.4,6.4,214
03.09.2015,12:30,0,0,0,0,-14.33,113.75,19.9,896.1,55.0,4.8,198
03.09.2015,13:30,0,0,0,0,-24.19,125.58,19.7,896.0,53.9,4.5,181
03.09.2015,14:30,0,0,0,0,-32.54,139.60,19.5,895.7,53.8,4.5,175
03.09.2015,15:30,0,0,0,0,-38.56,156.32,19.0,895.6,57.2,4.8,173
03.09.2015,16:30,0,0,0,0,-41.33,175.34,18.5,895.5,62.4,4.8,168
03.09.2015,17:30,0,0,0,0,-40.32,-165.10,18.0,895.2,67.2,4.8,161
03.09.2015,18:30,0,0,0,0,-35.73,-147.16,17.8,894.2,71.3,4.7,160
03.09.2015,19:30,0,0,0,0,-28.37,-131.89,17.8,893.5,73.6,4.3,169
03.09.2015,20:30,0,0,0,0,-19.14,-119.12,17.9,893.3,75.1,3.5,181
03.09.2015,21:30,0,0,0,0,-8.63,-108.13,18.1,892.8,76.1,2.7,198
03.09.2015,22:30,23,21,20,2,2.72,-98.14,18.0,892.9,77.2,2.2,228
03.09.2015,23:30,50,27,45,1,13.72,-88.35,18.1,893.1,76.5,2.8,256
04.09.2015,00:30,49,2,48,1,24.79,-77.69,18.9,893.3,71.3,4.1,267
04.09.2015,01:30,210,31,192,1,35.53,-65.71,20.3,893.5,63.4,4.5,285
04.09.2015,02:30,432,128,341,1,45.16,-50.70,21.7,893.4,53.9,4.9,281
04.09.2015,03:30,536,202,374,1,52.58,-30.94,23.0,893.4,46.6,5.4,267
04.09.2015,04:30,614,245,410,1,56.19,-6.13,24.0,893.1,41.7,5.9,284
04.09.2015,05:30,699,391,380,1,54.81,20.01,24.3,892.6,39.2,6.1,282
04.09.2015,06:30,606,323,361,1,48.95,42.26,23.8,892.2,39.2,6.0,283
04.09.2015,07:30,382,144,285,1,40.17,59.27,23.6,891.7,39.8,4.9,279
04.09.2015,08:30,283,121,226,1,29.83,72.43,23.0,891.7,41.6,3.8,255
04.09.2015,09:30,182,116,143,1,18.76,83.38,22.3,892.0,43.6,2.9,290
04.09.2015,10:30,38,11,36,1,7.55,93.31,21.8,892.2,44.6,2.9,276
04.09.2015,11:30,1,0,1,0,-3.42,103.11,21.4,892.4,46.4,3.4,294
04.09.2015,12:30,0,0,0,0,-14.65,113.55,20.8,892.6,49.6,3.7,298
04.09.2015,13:30,0,0,0,0,-24.53,125.41,20.1,893.1,52.8,3.5,290
04.09.2015,14:30,0,0,0,0,-32.90,139.47,19.8,893.5,54.0,3.7,294
04.09.2015,15:30,0,0,0,0,-38.93,156.28,19.9,893.5,53.6,3.8,289
04.09.2015,16:30,0,0,0,0,-41.70,175.42,19.0,893.5,56.1,3.7,298
04.09.2015,17:30,0,0,0,0,-40.66,-164.90,18.0,893.4,59.5,3.7,288
04.09.2015,18:30,0,0,0,0,-36.03,-146.88,17.3,893.1,62.2,3.7,261
04.09.2015,19:30,0,0,0,0,-28.62,-131.57,16.7,893.0,64.7,3.5,283
04.09.2015,20:30,0,0,0,0,-19.35,-118.80,16.3,893.1,66.7,3.7,277
04.09.2015,21:30,0,0,0,0,-8.82,-107.80,15.9,893.3,68.2,4.1,267
04.09.2015,22:30,4,0,4,2,2.56,-97.80,15.7,893.6,68.8,4.7,248
04.09.2015,23:30,22,0,22,1,13.55,-88.00,16.1,893.8,66.6,4.6,277
05.09.2015,00:30,96,2,95,1,24.61,-77.33,16.9,894.1,63.8,4.6,286
05.09.2015,01:30,133,4,130,1,35.33,-65.32,17.9,894.3,62.7,5.2,299
05.09.2015,02:30,166,2,165,1,44.92,-50.29,19.4,894.5,58.5,5.4,303
05.09.2015,03:30,359,128,255,1,52.27,-30.58,20.7,894.5,53.9,6.1,307
05.09.2015,04:30,508,217,330,1,55.83,-5.92,21.7,894.5,49.2,6.3,309
05.09.2015,05:30,348,59,300,1,54.44,19.99,22.4,894.2,44.6,5.9,305
05.09.2015,06:30,314,30,291,1,48.59,42.09,22.7,893.9,42.0,4.1,281
05.09.2015,07:30,273,50,242,1,39.83,59.04,23.0,894.0,41.3,4.3,290
05.09.2015,08:30,262,74,226,1,29.51,72.19,22.7,894.0,42.0,7.2,348
05.09.2015,09:30,119,24,111,1,18.46,83.14,22.0,894.2,44.4,6.7,356
05.09.2015,10:30,28,7,27,1,7.25,93.08,20.8,894.9,48.5,5.7,358
05.09.2015,11:30,0,0,0,0,-3.69,102.90,19.2,896.0,53.4,4.0,353
05.09.2015,12:30,0,0,0,0,-14.98,113.35,18.0,896.8,56.1,2.9,342
05.09.2015,13:30,0,0,0,0,-24.87,125.23,17.4,897.4,58.6,2.8,326
05.09.2015,14:30,0,0,0,0,-33.26,139.34,16.8,898.1,61.2,2.9,313
05.09.2015,15:30,0,0,0,0,-39.30,156.24,16.3,898.4,63.6,2.8,309
05.09.2015,16:30,0,0,0,0,-42.08,175.51,15.7,898.6,66.1,2.8,287
05.09.2015,17:30,0,0,0,0,-41.00,-164.69,15.2,898.5,68.1,2.9,229
05.09.2015,18:30,0,0,0,0,-36.32,-146.59,14.7,898.4,70.0,2.4,271
05.09.2015,19:30,0,0,0,0,-28.87,-131.25,14.2,898.7,71.7,3.1,324
05.09.2015,20:30,0,0,0,0,-19.57,-118.46,13.9,898.7,73.1,2.2,317
05.09.2015,21:30,0,0,0,0,-9.02,-107.47,13.5,898.9,74.2,1.7,319
05.09.2015,22:30,24,43,18,2,2.42,-97.47,13.5,899.2,73.9,1.6,320
05.09.2015,23:30,175,350,87,1,13.38,-87.66,13.8,899.4,69.4,1.4,324
06.09.2015,00:30,386,698,93,1,24.43,-76.96,14.6,899.7,62.9,0.9,332
06.09.2015,01:30,573,805,109,1,35.12,-64.92,17.0,899.7,57.3,1.1,324
06.09.2015,02:30,725,862,120,1,44.67,-49.89,19.4,899.6,50.7,1.5,332
06.09.2015,03:30,829,893,126,1,51.97,-30.22,21.5,899.2,43.7,1.8,333
06.09.2015,04:30,874,904,129,1,55.47,-5.72,23.2,898.3,37.9,1.8,333
06.09.2015,05:30,856,900,128,1,54.06,19.97,24.5,897.7,33.6,1.8,331
06.09.2015,06:30,776,872,126,1,48.23,41.93,25.3,897.2,29.6,1.7,334
06.09.2015,07:30,621,730,154,1,39.50,58.81,25.9,896.4,27.3,1.5,258
06.09.2015,08:30,403,459,173,1,29.20,71.95,26.1,895.6,26.7,1.2,4
06.09.2015,09:30,221,318,119,1,18.15,82.91,25.9,895.4,27.3,0.8,92
06.09.2015,10:30,63,117,41,1,6.96,92.86,24.3,895.4,31.8,0.5,337
06.09.2015,11:30,1,0,1,0,-3.95,102.68,22.0,895.9,36.9,1.1,278
06.09.2015,12:30,0,0,0,0,-15.30,113.15,21.1,896.5,37.0,1.8,88
06.09.2015,13:30,0,0,0,0,-25.21,125.05,20.3,896.5,38.3,2.4,97
06.09.2015,14:30,0,0,0,0,-33.62,139.21,19.4,896.5,40.7,2.9,106
06.09.2015,15:30,0,0,0,0,-39.68,156.20,18.6,896.5,44.0,2.8,114
06.09.2015,16:30,0,0,0,0,-42.45,175.60,18.0,896.5,47.2,2.8,110
06.09.2015,17:30,0,0,0,0,-41.35,-164.48,17.4,896.9,50.0,2.4,95
06.09.2015,18:30,0,0,0,0,-36.62,-146.30,16.9,897.6,52.6,2.4,130
